Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-09-01 13:45:06,2021-09-01 13:45:54,48.015s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/Call Center OPD,Chrome 92.0.4515.159,,,2021-09-01 13:45:06,2021-09-01 13:45:54,47.747s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-01 13:45:07,2021-09-01 13:45:09,2.000s,PASSED
"navigateToUrl(""http://10.85.139.13:4304/appointment-list"")",Chrome 92.0.4515.159,,,2021-09-01 13:45:09,2021-09-01 13:45:12,3.147s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-01 13:45:12,2021-09-01 13:45:12,0.148s,PASSED
"waitForPageLoad(120, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-09-01 13:45:12,2021-09-01 13:45:12,0.117s,PASSED
"setText(findTestObject(""Object Repository/Pre-regist OPD/FO/input_Username_username FO OPD""), Username)",Chrome 92.0.4515.159,,,2021-09-01 13:45:12,2021-09-01 13:45:33,21.341s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 13:45:33,2021-09-01 13:45:34,1.018s,PASSED
"setText(findTestObject(""Object Repository/Pre-regist OPD/FO/input_Password_password FO OPD""), Password)",Chrome 92.0.4515.159,,,2021-09-01 13:45:34,2021-09-01 13:45:35,0.700s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-09-01 13:45:35,2021-09-01 13:45:36,1.012s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/button_Sign InCC""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:36,2021-09-01 13:45:37,0.372s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-09-01 13:45:37,2021-09-01 13:45:39,2.014s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/CC/input_Hospital_ng-untouched ng-pristine ng-valid""), 120)",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.371s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/button_Appointment List""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
delay(2),Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/input_Hospital_ng-untouched ng-pristine ng-valid""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/Pre-regist OPD/CC/input_Hospital_ng-untouched ng-pristine ng-valid""), NamaRSCC)",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/pilih RS""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/hapus tanggal appointment list""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/Pre-regist OPD/CC/input_Appointment date_selection ng-untouch_b13c69""), TanggalCC)",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/Pre-regist OPD/CC/input_Action_filter-by-name-appointment-list""), NamaLengkap)",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/td konfirmasi""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
delay(15),Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/CC/div_Appointment Verification""))",Chrome 92.0.4515.159,,,2021-09-01 13:45:39,2021-09-01 13:45:39,0.363s,PASSED
